,17-30-53.016.avi,17-51-16.714 short.avi,18-20-07.069.avi,18-52-15.173.avi,19-11-28.376.avi,19-12-37.585 possible head fixed strike.avi,19-43-36.229.avi,20-51-06.215.avi,20-59-17.243 8000.avi,13-38-08.638.avi,14-52-52.039.avi,15-20-33.482-3.avi,15-21-54.494-1.avi,15-35-07.535-1.avi,15-48-39.624.avi,18-35-13.518-1.avi,18-36-24.698-1.avi,18-48-01.826.avi,17-45-50.650.avi,17-49-06.981
mouth protrusion,113,349,173,865,276,1111,247,122,273,33,26,76,40,145,198,250,43,40,257,49
,449,374,234,883,295,,384,146,307,168,41,,,164,,,,,,
,592,499,387,909,328,,413,484,339,,,,,196,,,,,,
,739,537,471,934,506,,567,502,435,,,,,,,,,,,
,,568,724,,616,,591,667,462,,,,,,,,,,,
,,628,852,,,,647,693,503,,,,,,,,,,,
,,831,887,,,,,,,,,,,,,,,,,
,,904,1041,,,,,,,,,,,,,,,,,
,,993,1077,,,,,,,,,,,,,,,,,
,,1285,,,,,,,,,,,,,,,,,,
,,1321,,,,,,,,,,,,,,,,,,
